X1,Y1,X2,Y2,Confidence,Class
630,203,702,269,0.26,Dummy
218,614,519,703,0.85,Car
218,614,518,703,0.85,Car
287,620,512,704,0.56,Car
630,203,702,268,0.27,Dummy
0,175,44,230,0.27,Dummy
217,614,519,703,0.85,Car
293,619,512,704,0.49,Car
630,202,702,268,0.4,Dummy
217,613,519,704,0.85,Car
287,619,512,704,0.53,Car
0,175,43,230,0.26,Dummy
218,613,519,704,0.84,Car
216,613,519,704,0.84,Car
630,202,703,269,0.33,Dummy
277,623,509,703,0.29,Car
0,175,44,230,0.26,Dummy
218,614,518,703,0.85,Car
281,622,509,703,0.34,Car
630,203,702,269,0.27,Dummy
0,175,43,230,0.26,Dummy
218,614,519,703,0.85,Car
0,174,44,230,0.29,Dummy
630,203,702,269,0.26,Dummy
218,613,519,704,0.84,Car
286,620,512,704,0.55,Car
0,175,43,230,0.28,Dummy
217,614,519,704,0.84,Car
0,175,44,230,0.27,Dummy
219,613,519,704,0.85,Car
0,175,44,229,0.28,Dummy
231,613,528,703,0.84,Car
0,175,43,229,0.26,Dummy
216,613,519,704,0.84,Car
299,620,512,704,0.53,Car
630,202,702,269,0.37,Dummy
0,175,43,230,0.29,Dummy
219,613,518,704,0.85,Car
291,619,512,704,0.54,Car
0,175,44,230,0.26,Dummy
219,614,519,704,0.85,Car
0,175,44,230,0.31,Dummy
217,613,517,703,0.85,Car
300,618,512,704,0.59,Car
0,174,44,230,0.32,Dummy
219,613,519,704,0.84,Car
630,202,702,269,0.29,Dummy
218,614,518,704,0.85,Car
217,613,519,704,0.82,Car
219,613,520,704,0.83,Car
630,202,702,269,0.3,Dummy
217,613,518,704,0.85,Car
0,175,43,229,0.27,Dummy
216,614,519,703,0.84,Car
287,620,512,704,0.53,Car
216,613,519,704,0.83,Car
298,619,512,704,0.57,Car
217,614,520,704,0.84,Car
0,175,44,230,0.26,Dummy
217,614,518,703,0.85,Car
0,175,43,230,0.28,Dummy
118,157,208,208,0.26,Dummy
218,614,519,704,0.85,Car
630,203,702,269,0.28,Dummy
0,175,43,230,0.26,Dummy
218,614,518,704,0.83,Car
0,175,44,230,0.26,Dummy
217,614,518,703,0.84,Car
299,619,512,704,0.57,Car
0,175,43,230,0.28,Dummy
630,202,702,268,0.26,Dummy
218,613,519,704,0.85,Car
630,202,702,268,0.28,Dummy
216,613,519,704,0.84,Car
298,621,512,704,0.53,Car
630,202,702,268,0.31,Dummy
0,174,44,230,0.28,Dummy
218,614,519,704,0.86,Car
0,175,44,230,0.29,Dummy
217,614,519,703,0.84,Car
0,175,44,230,0.31,Dummy
217,614,518,704,0.86,Car
0,175,44,230,0.26,Dummy
217,614,519,703,0.85,Car
0,175,43,230,0.26,Dummy
216,613,519,704,0.85,Car
290,619,512,704,0.49,Car
0,175,43,230,0.31,Dummy
220,614,519,704,0.85,Car
0,175,44,230,0.28,Dummy
218,613,519,703,0.86,Car
0,174,43,229,0.28,Dummy
217,614,518,703,0.84,Car
293,620,512,704,0.55,Car
0,174,44,230,0.3,Dummy
218,614,518,704,0.85,Car
630,202,702,269,0.27,Dummy
217,614,519,703,0.84,Car
291,619,512,704,0.57,Car
630,201,703,269,0.3,Dummy
0,175,44,230,0.29,Dummy
217,614,518,703,0.83,Car
631,203,702,268,0.33,Dummy
0,175,44,230,0.26,Dummy
219,614,518,703,0.85,Car
118,157,208,207,0.27,Dummy
219,614,519,703,0.84,Car
218,614,519,704,0.86,Car
292,620,512,704,0.54,Car
218,614,520,703,0.85,Car
218,613,519,704,0.85,Car
0,175,44,229,0.3,Dummy
218,615,518,703,0.85,Car
0,175,43,229,0.3,Dummy
630,202,702,269,0.28,Dummy
217,611,518,704,0.84,Car
631,202,703,268,0.39,Dummy
0,174,44,230,0.26,Dummy
230,612,530,704,0.85,Car
630,202,702,269,0.26,Dummy
217,614,518,704,0.84,Car
217,614,519,704,0.86,Car
0,175,43,229,0.29,Dummy
217,613,519,704,0.86,Car
0,175,43,230,0.27,Dummy
216,613,519,704,0.83,Car
291,619,512,704,0.59,Car
0,175,44,230,0.28,Dummy
220,613,518,704,0.84,Car
292,620,513,704,0.55,Car
0,175,44,230,0.27,Dummy
217,613,520,704,0.86,Car
218,613,520,704,0.85,Car
630,202,702,269,0.39,Dummy
218,614,520,704,0.84,Car
218,613,518,704,0.85,Car
631,203,702,269,0.26,Dummy
216,614,519,703,0.85,Car
300,619,512,704,0.55,Car
0,175,44,230,0.29,Dummy
217,614,519,703,0.84,Car
288,619,513,704,0.57,Car
630,202,702,269,0.26,Dummy
217,614,519,703,0.85,Car
0,174,44,230,0.27,Dummy
217,614,519,703,0.88,Car
631,202,702,268,0.26,Dummy
219,613,519,704,0.84,Car
219,614,518,703,0.86,Car
630,202,702,269,0.31,Dummy
0,175,43,229,0.26,Dummy
216,613,518,704,0.85,Car
285,620,512,704,0.45,Car
630,202,702,269,0.26,Dummy
216,613,519,704,0.82,Car
283,620,513,704,0.51,Car
630,202,703,268,0.28,Dummy
219,612,518,704,0.84,Car
630,202,702,269,0.27,Dummy
217,612,518,704,0.85,Car
298,618,512,704,0.59,Car
0,174,44,229,0.28,Dummy
217,614,520,703,0.82,Car
0,175,44,230,0.28,Dummy
218,613,520,703,0.85,Car
218,613,519,704,0.83,Car
290,620,513,704,0.54,Car
0,175,44,230,0.28,Dummy
631,203,702,268,0.27,Dummy
216,612,518,704,0.87,Car
220,613,518,704,0.85,Car
630,203,702,268,0.27,Dummy
217,612,519,704,0.84,Car
0,175,44,230,0.27,Dummy
219,614,518,704,0.84,Car
0,175,43,229,0.26,Dummy
219,614,519,704,0.85,Car
0,175,44,229,0.26,Dummy
217,612,519,704,0.85,Car
217,613,519,704,0.84,Car
0,175,44,230,0.26,Dummy
217,612,519,704,0.84,Car
295,619,512,704,0.59,Car
0,175,44,230,0.28,Dummy
219,615,519,703,0.84,Car
